satellite,instrument,satellite-description,instrument-description
arase-erg,mgf,Exploration of energization and Radiation in Geospace (Arase (ERG)),Magnetic field experiment (MGF)
arase-erg,pwe,Exploration of energization and Radiation in Geospace (Arase (ERG)),Plasma Wave Experiment (PWE)
arase-erg,xep-e,Exploration of energization and Radiation in Geospace (Arase (ERG)),Extremely high-energy electron experiments (XEP-e)
arctica-m-n1,ggak-e-fm-e,Arctica-M N1,GGAK-E / Magnetometer instrument (GGAK-E/FM-E)
arctica-m-n1,ggak-e-gals-e,Arctica-M N1,GGAK-E / Detector of galactic cosmic rays (GGAK-E/GALS-E)
arctica-m-n1,ggak-e-skif-6,Arctica-M N1,GGAK-E / Corpuscular radiation spectrometer (GGAK-E/SKIF-6)
arctica-m-n2,ggak-e-fm-e,Arctica-M N2,GGAK-E / Magnetometer instrument (GGAK-E/FM-E)
arctica-m-n2,ggak-e-gals-e,Arctica-M N2,GGAK-E / Detector of galactic cosmic rays (GGAK-E/GALS-E)
arctica-m-n2,ggak-e-skif-6,Arctica-M N2,GGAK-E / Corpuscular radiation spectrometer (GGAK-E/SKIF-6)
artemis-p1,efi,"Acceleration, Reconnection, Turbulence, and Electrodynamics of the Moon's Interaction with the Sun - P1 (ARTEMIS-P1)",Electric Field Instrument (EFI)
artemis-p1,esa,"Acceleration, Reconnection, Turbulence, and Electrodynamics of the Moon's Interaction with the Sun - P1 (ARTEMIS-P1)",Electrostatic Analyzer (ESA)
artemis-p1,fgm,"Acceleration, Reconnection, Turbulence, and Electrodynamics of the Moon's Interaction with the Sun - P1 (ARTEMIS-P1)",Fluxgate Magnetometer (FGM)
artemis-p1,scm,"Acceleration, Reconnection, Turbulence, and Electrodynamics of the Moon's Interaction with the Sun - P1 (ARTEMIS-P1)",Search Coil Magnetometer (SCM)
artemis-p1,sst,"Acceleration, Reconnection, Turbulence, and Electrodynamics of the Moon's Interaction with the Sun - P1 (ARTEMIS-P1)",Solid State Telescope (SST)
artemis-p2,efi,"Acceleration, Reconnection, Turbulence, and Electrodynamics of the Moon's Interaction with the Sun - P2 (ARTEMIS-P2)",Electric Field Instrument (EFI)
artemis-p2,esa,"Acceleration, Reconnection, Turbulence, and Electrodynamics of the Moon's Interaction with the Sun - P2 (ARTEMIS-P2)",Electrostatic Analyzer (ESA)
artemis-p2,fgm,"Acceleration, Reconnection, Turbulence, and Electrodynamics of the Moon's Interaction with the Sun - P2 (ARTEMIS-P2)",Fluxgate Magnetometer (FGM)
artemis-p2,scm,"Acceleration, Reconnection, Turbulence, and Electrodynamics of the Moon's Interaction with the Sun - P2 (ARTEMIS-P2)",Search Coil Magnetometer (SCM)
artemis-p2,sst,"Acceleration, Reconnection, Turbulence, and Electrodynamics of the Moon's Interaction with the Sun - P2 (ARTEMIS-P2)",Solid State Telescope (SST)
aso-s,fmg,Advanced Space-based Solar Observatory (ASO-S (Kuafu-1)),Full-disk solar vector MagnetoGraph (FMG)
aso-s,hxi,Advanced Space-based Solar Observatory (ASO-S (Kuafu-1)),Hard X-ray Imager (HXI)
aso-s,lst,Advanced Space-based Solar Observatory (ASO-S (Kuafu-1)),Lyman-alpha Solar Telescope (LST)
cluster-1,cis,CLUSTER-1,Cluster Ion Spectrometry experiment (CIS)
cluster-1,edi,CLUSTER-1,Electron Drift Instrument (EDI)
