satellite,instrument,satellite-description,instrument-description
mms-d,dp,Magnetospheric MultiScale mission - D (MMS-D),Digital Fluxgate Magnetometer (DFG)
mms-d,edi,Magnetospheric MultiScale mission - D (MMS-D),Electron Drift Instrument (EDI)
mms-d,eis,Magnetospheric MultiScale mission - D (MMS-D),Energetic Ion Spectrometer (EIS)
mms-d,feeps,Magnetospheric MultiScale mission - D (MMS-D),Fly's Eye Energetic Particle Sensor (FEEPS)
mms-d,fpi,Magnetospheric MultiScale mission - D (MMS-D),Fast Plasma Instrument (FPI)
mms-d,hpca,Magnetospheric MultiScale mission - D (MMS-D),Hot Plasma Composition Analyzer (HPCA)
mms-d,scm,Magnetospheric MultiScale mission - D (MMS-D),Search Coil Magnetometer (SCM)
noaa-15,sem-meped,National Oceanic and Atmospheric Administration - 15 (NOAA-15),SEM / Medium energy proton detector (SEM/MEPED)
noaa-15,sem-ted,National Oceanic and Atmospheric Administration - 15 (NOAA-15),SEM / Total Energy Detector (SEM/TED)
noaa-18,sem-meped,National Oceanic and Atmospheric Administration - 18 (NOAA-18),SEM / Medium energy proton detector (SEM/MEPED)
noaa-18,sem-ted,National Oceanic and Atmospheric Administration - 18 (NOAA-18),SEM / Total Energy Detector (SEM/TED)
noaa-19,sem-meped,National Oceanic and Atmospheric Administration - 19 (NOAA-19),SEM / Medium energy proton detector (SEM/MEPED)
noaa-19,sem-ted,National Oceanic and Atmospheric Administration - 19 (NOAA-19),SEM / Total Energy Detector (SEM/TED)
parker-solar-probe,fields,Parker Solar Probe,Electromagnetic Fields Investigation (FIELDS)
parker-solar-probe,isis-epi,Parker Solar Probe,Integrated Science Investigation of the Sun - Energetic Particle Instruments (ISIS-EPI)
parker-solar-probe,sweapi,Parker Solar Probe,Solar Wind Electrons Alphas and Protons Investigation (SWEAPI)
parker-solar-probe,wispr,Parker Solar Probe,Wide-field Imager for Solar Probe (WISPR)
proba-2,dslp,Project for On-Board Autonomy - 2 (PROBA-2),Dual Segmented Langmuir Probe (DSLP)
proba-2,lyra,Project for On-Board Autonomy - 2 (PROBA-2),LYman-alpha RAdiometer (LYRA)
proba-2,swap,Project for On-Board Autonomy - 2 (PROBA-2),Sun Watcher using Active Pixel System detector and Image Processing (SWAP)
proba-2,tpmu,Project for On-Board Autonomy - 2 (PROBA-2),Thermal Plasma Measurement Unit (TPMU)
sdo,aia,Solar Dynamics Observatory (SDO),Atmospheric Imaging Assembly (AIA)
sdo,eve,Solar Dynamics Observatory (SDO),EUV Variability Experiment (EVE)
sdo,hmi,Solar Dynamics Observatory (SDO),Helioseismic and Magnetic Imager (HMI)
sich-2-30,potential,SICH-2-30 (originally SICH-2-1),Potential
soho,cds,Solar and Heliospheric Observatory (SOHO),Coronal Diagnostic Spectrometer (CDS)
soho,celias,Solar and Heliospheric Observatory (SOHO),Charge (CELIAS)
soho,costep,Solar and Heliospheric Observatory (SOHO),Suprathermal & Energetic Particle Analyzer (COSTEP)
soho,eit,Solar and Heliospheric Observatory (SOHO),Extreme UV Imaging Telescope (EIT)
soho,erne,Solar and Heliospheric Observatory (SOHO),Energetic and Relativistic Nuclei and Electron experiment (ERNE)
soho,golf,Solar and Heliospheric Observatory (SOHO),Global Oscillations at Low Frequencies (GOLF)
soho,lasco,Solar and Heliospheric Observatory (SOHO),Large Angle and Spectrometric Coronagraph (LASCO)
soho,mdi,Solar and Heliospheric Observatory (SOHO),Michelson Doppler Imager (MDI)
soho,sem,Solar and Heliospheric Observatory (SOHO),Solar EUV monitor (SEM)
soho,sumer,Solar and Heliospheric Observatory (SOHO),Solar UV Measurement of Emitted Radiation (SUMER)
soho,swan,Solar and Heliospheric Observatory (SOHO),Solar Wind Anisotropies (SWAN)
soho,uvcs,Solar and Heliospheric Observatory (SOHO),UV Coronagraph and Spectrometer (UVCS)
soho,virgo,Solar and Heliospheric Observatory (SOHO),Variability of Solar Irradiance (VIRGO )
solar-b,eis,Solar-B (Hinode),EUV Imaging Spectrometer (EIS)
solar-b,sot,Solar-B (Hinode),Solar Optical Telescope (SOT)
solar-b,xrt,Solar-B (Hinode),X-Ray Telescope (XRT)
solar-orbiter,epd,Solar Orbiter,Energetic Particle Detector (EPD)
solar-orbiter,eui,Solar Orbiter,Extreme Ultraviolet Imager (EUI)
solar-orbiter,mag,Solar Orbiter,Magnetometer (Solar Orbiter) (MAG)
solar-orbiter,metis,Solar Orbiter,Multi Element Telescope for Imaging and Spectroscopy (METIS)
solar-orbiter,phi,Solar Orbiter,Polarimetric and Helioseismic Imager (PHI)
solar-orbiter,rpw,Solar Orbiter,Radio and Plasma Waves (RPW)
solar-orbiter,solohi,Solar Orbiter,Solar Orbiter Heliospheric Imager (SoloHI)
solar-orbiter,spice,Solar Orbiter,Spectral Imaging of the Coronal Environment (SPICE)
solar-orbiter,stix,Solar Orbiter,X-ray Spectrometer/Telescope (STIX)
solar-orbiter,swa,Solar Orbiter,Solar Wind Plasma Analyser (SWA)
starlette,lr,Satellite de Taille Adaptee avec Reflecteurs Laser pour les Etudes de la Terre (STARLETTE),Laser Reflectors (LR)
stella,lr,STELLA,Laser Reflectors (LR)
stereo-a,impact-mag,Solar-TErrestrial RElations Observatory - A (STEREO-A),IMPACT / Magnetometer (IMPACT/MAG)
stereo-a,impact-sep,Solar-TErrestrial RElations Observatory - A (STEREO-A),IMPACT / Solar Energetic Particles (IMPACT/SEP)
stereo-a,impact-ste,Solar-TErrestrial RElations Observatory - A (STEREO-A),IMPACT / Suprathermal Electron Telescope (IMPACT/STE)
stereo-a,impact-swea,Solar-TErrestrial RElations Observatory - A (STEREO-A),IMPACT / Solar Wind Electron Analyzer (IMPACT/SWEA)
stereo-a,plastic,Solar-TErrestrial RElations Observatory - A (STEREO-A),PLAsma and SupraThermal Ion and Composition (PLASTIC)
stereo-a,secchi-cor-1,Solar-TErrestrial RElations Observatory - A (STEREO-A),SECCHI / Coronagraph imager 1 (SECCHI/COR-1)
stereo-a,secchi-cor-2,Solar-TErrestrial RElations Observatory - A (STEREO-A),SECCHI / Coronagraph imager 2 (SECCHI/COR-2)
stereo-a,secchi-euvi,Solar-TErrestrial RElations Observatory - A (STEREO-A),SECCHI / EUV Imager (SECCHI/EUVI)
stereo-a,secchi-hi-1,Solar-TErrestrial RElations Observatory - A (STEREO-A),SECCHI / Heliospheric Imager 1 (SECCHI/HI-1)
stereo-a,secchi-hi-2,Solar-TErrestrial RElations Observatory - A (STEREO-A),SECCHI / Heliospheric Imager 2 (SECCHI/HI-2)
stereo-a,s-waves,Solar-TErrestrial RElations Observatory - A (STEREO-A),STEREO/WAVES (S/WAVES)
swarm-a,acc,The Earth's Magnetic Field and Environment Explorers - A (SWARM-A),Accelerometer (ACC)
swarm-a,asm,The Earth's Magnetic Field and Environment Explorers - A (SWARM-A),Absolute Scalar Magnetometer (ASM)
swarm-a,efi,The Earth's Magnetic Field and Environment Explorers - A (SWARM-A),Electric Field Instrument (EFI)
swarm-a,vfm,The Earth's Magnetic Field and Environment Explorers - A (SWARM-A),Electric Field Instrument (EFI)
swarm-b,acc,The Earth's Magnetic Field and Environment Explorers - B (SWARM-B),Accelerometer (ACC)
swarm-b,asm,The Earth's Magnetic Field and Environment Explorers - B (SWARM-B),Absolute Scalar Magnetometer (ASM)
swarm-b,efi,The Earth's Magnetic Field and Environment Explorers - B (SWARM-B),Electric Field Instrument (EFI)
swarm-b,vfm,The Earth's Magnetic Field and Environment Explorers - B (SWARM-B),Electric Field Instrument (EFI)
swarm-c,acc,The Earth's Magnetic Field and Environment Explorers - C (SWARM-C),Accelerometer (ACC)
swarm-c,asm,The Earth's Magnetic Field and Environment Explorers - C (SWARM-C),Absolute Scalar Magnetometer (ASM)
swarm-c,efi,The Earth's Magnetic Field and Environment Explorers - C (SWARM-C),Electric Field Instrument (EFI)
swarm-c,vfm,The Earth's Magnetic Field and Environment Explorers - C (SWARM-C),Electric Field Instrument (EFI)
tempo,tempo,Tropospheric Emissions: Monitoring of Pollution,Tropospheric Emissions: Monitoring of Pollution
themis-a,efi,Time History of Events and Macroscale Interactions during Substorms - A (THEMIS-A),Electric Field Instrument (EFI)
themis-a,esa,Time History of Events and Macroscale Interactions during Substorms - A (THEMIS-A),Electrostatic Analyzer (ESA)
themis-a,fgm,Time History of Events and Macroscale Interactions during Substorms - A (THEMIS-A),Fluxgate Magnetometer (FGM)
themis-a,scm,Time History of Events and Macroscale Interactions during Substorms - A (THEMIS-A),Search Coil Magnetometer (SCM)
themis-a,sst,Time History of Events and Macroscale Interactions during Substorms - A (THEMIS-A),Solid State Telescope (SST)
themis-d,efi,Time History of Events and Macroscale Interactions during Substorms - D (THEMIS-D),Electric Field Instrument (EFI)
themis-d,esa,Time History of Events and Macroscale Interactions during Substorms - D (THEMIS-D),Electrostatic Analyzer (ESA)
themis-d,fgm,Time History of Events and Macroscale Interactions during Substorms - D (THEMIS-D),Fluxgate Magnetometer (FGM)
themis-d,scm,Time History of Events and Macroscale Interactions during Substorms - D (THEMIS-D),Search Coil Magnetometer (SCM)
themis-d,sst,Time History of Events and Macroscale Interactions during Substorms - D (THEMIS-D),Solid State Telescope (SST)
themis-e,efi,Time History of Events and Macroscale Interactions during Substorms - E (THEMIS-E),Electric Field Instrument (EFI)
themis-e,esa,Time History of Events and Macroscale Interactions during Substorms - E (THEMIS-E),Electrostatic Analyzer (ESA)
themis-e,fgm,Time History of Events and Macroscale Interactions during Substorms - E (THEMIS-E),Fluxgate Magnetometer (FGM)
themis-e,scm,Time History of Events and Macroscale Interactions during Substorms - E (THEMIS-E),Search Coil Magnetometer (SCM)
themis-e,sst,Time History of Events and Macroscale Interactions during Substorms - E (THEMIS-E),Solid State Telescope (SST)
tianmu-1,tianmu-receiver,Tianmu-1,Tianmu-Receiver
timed,guvi,"Thermosphere, Ionosphere, Mesosphere Energetics and Dynamics mission (TIMED)",Global Ultra-Violet Imager (GUVI)
timed,saber,"Thermosphere, Ionosphere, Mesosphere Energetics and Dynamics mission (TIMED)",Sounding of the Atmosphere using Broadband Emission Radiometry (SABER)
timed,see,"Thermosphere, Ionosphere, Mesosphere Energetics and Dynamics mission (TIMED)",Solar Extreme Ultraviolet Experiment (SEE)
timed,tidi,"Thermosphere, Ionosphere, Mesosphere Energetics and Dynamics mission (TIMED)",TIMED Doppler Interferometer (TIDI)
triton,gpsr,TRITON (also FORMOSAT-7R),GPS Reflection (GPSR)
venus,vssc,Vegetation and Environment monitoring on a New Micro-Satellite (VENUS),VENuS SuperSpectral Camera (VSSC)
wind,epact,WIND,Energetic Particles Acceleration (EPACT)
wind,mfi,WIND,Magnetic Field Investigation (MFI)
wind,plasma,WIND,3-D Plasma and Energetic Particles Experiment (PLASMA)
wind,sms,WIND,Solar wind ion composition (SMS)
wind,swe,WIND,Solar Wind Experiment (SWE)
wind,tgrs,WIND,Transient Gamma Ray Spectrometer (TGRS)
wind,waves,WIND,Radio and Plasma Wave Experiment (WAVES)
worldview-3,wv110,WorldView-3,World View 110 camera (WV110)
xmm-newton,epic,X-ray Multi-Mirror Mission Observatory - Newton (XMM-Newton),European Photon Imaging Camera (EPIC)
xmm-newton,om,X-ray Multi-Mirror Mission Observatory - Newton (XMM-Newton),Optical Monitor (OM)
xmm-newton,rgs,X-ray Multi-Mirror Mission Observatory - Newton (XMM-Newton),Reflection Grating Spectrometer (RGS)
