orbit-type,sensor-type,satellite,data-type,orbit-type-description,sensor-type-description,satellite-description,data-type-description
cross-magnetosphere,energetic-particle-spectrometer-and-magnetometer,arase-erg,level-0,Cross-magnetosphere orbit,energetic-particle-spectrometer-and-magnetometer,arase-erg,Raw data at full instrument resolution.
cross-magnetosphere,energetic-particle-spectrometer-and-magnetometer,arase-erg,level-1,Cross-magnetosphere orbit,energetic-particle-spectrometer-and-magnetometer,arase-erg,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
cross-magnetosphere,energetic-particle-spectrometer-and-magnetometer,cluster-1,level-0,Cross-magnetosphere orbit,energetic-particle-spectrometer-and-magnetometer,cluster-1,Raw data at full instrument resolution.
cross-magnetosphere,energetic-particle-spectrometer-and-magnetometer,cluster-1,level-1,Cross-magnetosphere orbit,energetic-particle-spectrometer-and-magnetometer,cluster-1,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
cross-magnetosphere,energetic-particle-spectrometer-and-magnetometer,cluster-2,level-0,Cross-magnetosphere orbit,energetic-particle-spectrometer-and-magnetometer,cluster-2,Raw data at full instrument resolution.
cross-magnetosphere,energetic-particle-spectrometer-and-magnetometer,cluster-2,level-1,Cross-magnetosphere orbit,energetic-particle-spectrometer-and-magnetometer,cluster-2,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
cross-magnetosphere,energetic-particle-spectrometer-and-magnetometer,cluster-3,level-0,Cross-magnetosphere orbit,energetic-particle-spectrometer-and-magnetometer,cluster-3,Raw data at full instrument resolution.
cross-magnetosphere,energetic-particle-spectrometer-and-magnetometer,cluster-3,level-1,Cross-magnetosphere orbit,energetic-particle-spectrometer-and-magnetometer,cluster-3,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
cross-magnetosphere,energetic-particle-spectrometer-and-magnetometer,cluster-4,level-0,Cross-magnetosphere orbit,energetic-particle-spectrometer-and-magnetometer,cluster-4,Raw data at full instrument resolution.
cross-magnetosphere,energetic-particle-spectrometer-and-magnetometer,cluster-4,level-1,Cross-magnetosphere orbit,energetic-particle-spectrometer-and-magnetometer,cluster-4,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
