Name,Description,Source,Status
soil-moisture,Soil moisture,https://codes.wmo.int/wmdr/ObservedVariableTerrestrial/12277,Operational
soil-type,Soil type,https://codes.wmo.int/wmdr/ObservedVariableTerrestrial/246,Operational
