Name,Description,Source,Status
monthly,"Monthly values from land stations, e.g. CLIMAT",Operational,
daily,"Daily values from land stations, e.g. DAYCLI",Operational,
sub-daily,Reprocessed hourly and other sub-daily observations from land stations,Operational,
