Name,Description,Source,Status
bed-load-discharge,Bed load discharge,https://codes.wmo.int/wmdr/ObservedVariableTerrestrial/_12271,Operational
suspend-sediment-load,Suspend sediment load,https://codes.wmo.int/wmdr/ObservedVariableTerrestrial/_12272,Operational
total-sediment-Load,Total sediment load,https://codes.wmo.int/wmdr/ObservedVariableTerrestrial/_12273,Operational
