Name,Description,Source,Status
glacier-area,Glacier Area,https://codes.wmo.int/wmdr/ObservedVariableTerrestrial/_12013,Operational
glacier-mass-balance,Glacier mass balance at a point,https://codes.wmo.int/wmdr/ObservedVariableTerrestrial/_12009,Operational
glacier-motion,Glacier motion,https://codes.wmo.int/wmdr/ObservedVariableTerrestrial/_611,Operational
glacier-topography,Glacier topography,https://codes.wmo.int/wmdr/ObservedVariableTerrestrial/_612,Operational
glacier-wide mass-balance,Glacier-wide mass balance,https://codes.wmo.int/wmdr/ObservedVariableTerrestrial/_12010,Operational
ice-sheet-topography,Ice sheet topography,https://codes.wmo.int/wmdr/ObservedVariableTerrestrial/_613,Operational
ice-thickness,Ice thickness,https://codes.wmo.int/wmdr/ObservedVariableTerrestrial/_725,Operational
land-cover,Land cover,https://codes.wmo.int/wmdr/ObservedVariableTerrestrial/_236,Operational
land-surface-temperature,Land surface temperature,https://codes.wmo.int/wmdr/ObservedVariableTerrestrial/_389,Operational
land-surface-topography,Land surface topography,https://codes.wmo.int/wmdr/ObservedVariableTerrestrial/_237,Operational
permafrost-temperature,Permafrost temperature,https://codes.wmo.int/wmdr/ObservedVariableTerrestrial/_12014,Operational
presence-of-snow,Presence of snow,https://codes.wmo.int/wmdr/ObservedVariableTerrestrial/_12007,Operational
snow-cover-extent,Snow cover extent,https://codes.wmo.int/wmdr/ObservedVariableTerrestrial/_628,Operational
snow-depth,Snow depth,https://codes.wmo.int/wmdr/ObservedVariableTerrestrial/_629,Operational
soil-moisture,Soil moisture,https://codes.wmo.int/wmdr/ObservedVariableTerrestrial/_12277,Operational
soil-moisture-surface,Soil moisture at surface,https://codes.wmo.int/wmdr/ObservedVariableTerrestrial/_528,Operational
soil-temperature,Soil temperature,https://codes.wmo.int/wmdr/ObservedVariableTerrestrial/_596,Operational
soil-type,Soil type,https://codes.wmo.int/wmdr/ObservedVariableTerrestrial/_246,Operational
wetland-extent,Wetland extent,https://codes.wmo.int/wmdr/ObservedVariableTerrestrial/_243,Operational
stream-level,Stream level,https://codes.wmo.int/wmdr/ObservedVariableTerrestrial/_172,Operational
soil-moisture,Soil moisture,https://codes.wmo.int/wmdr/ObservedVariableTerrestrial/_12277,Operational
air-temperature,Air temperature,https://codes.wmo.int/wmdr/ObservedVariableAtmosphere/_224,Operational
cloud-cover,Cloud cover,https://codes.wmo.int/wmdr/ObservedVariableAtmosphere/_180,Operational
cloud-amount,Cloud amount,https://codes.wmo.int/wmdr/ObservedVariableAtmosphere/_179,Operational
