Name,Description,Source,Status
weather,Weather,Operational,
climate,Climate,Operational,
hydrology,Hydrology,Operational,
atmospheric-composition,Atmospheric Composition,Operational,
cryosphere,Cryosphere,Operational,
ocean,Ocean,Operational,
space-weather,Space Weather,Operational,
