Name,Description,Source,Status
glacier-ice-sheet-ice-shelves,"Glacier, ice-sheets, and ice-shelves including moving ice on land",,Operational
sea-ice-icebergs,Sea ice and icebergs,,Operational
lake-river-ice,Lake and river ice,,Operational
snow,Snow,,Operational
solid-precipitation,"Solid precipitation, including snowfall, hail, sleet, etc.",,Operational
