Name,Description,Child
surface-based-observations,Surface based observations,ocean-report-type
space-based-observations,Space based observations,ocean-report-type
analysis-prediction,Analysis and prediction,ocean-report-type
reanalysis,Reanalysis,ocean-report-type
advisories-warnings,Advisories and warnings,ocean-report-type
