Name,Description,Child
weather,Weather,TODO
climate,Climate,TODO
hydrology,Hydrology,TODO
atmospheric_composition,Atmospheric Composition,TODO
cryosphere,Cryosphere,TODO
oceans,Oceans,TODO
space_weather,Space Weather,TODO
