Name,Description,Child
afg,Afghanistan,centre-id
ala,Åland Islands,centre-id
alb,Albania,centre-id
dza,Algeria,centre-id
asm,American Samoa,centre-id
and,Andorra,centre-id
ago,Angola,centre-id
aia,Anguilla,centre-id
ata,Antarctica,centre-id
atg,Antigua and Barbuda,centre-id
arg,Argentina,centre-id
arm,Armenia,centre-id
abw,Aruba,centre-id
aus,Australia,centre-id
aut,Austria,centre-id
aze,Azerbaijan,centre-id
bhs,Bahamas,centre-id
bhr,Bahrain,centre-id
bgd,Bangladesh,centre-id
brb,Barbados,centre-id
blr,Belarus,centre-id
bel,Belgium,centre-id
blz,Belize,centre-id
ben,Benin,centre-id
bmu,Bermuda,centre-id
btn,Bhutan,centre-id
bol,Bolivia (Plurinational State of),centre-id
bes,"Bonaire, Sint Eustatius and Saba",centre-id
bih,Bosnia and Herzegovina,centre-id
bwa,Botswana,centre-id
bvt,Bouvet Island,centre-id
bra,Brazil,centre-id
iot,British Indian Ocean Territory,centre-id
brn,Brunei Darussalam,centre-id
bgr,Bulgaria,centre-id
bfa,Burkina Faso,centre-id
bdi,Burundi,centre-id
cpv,Cabo Verde,centre-id
khm,Cambodia,centre-id
cmr,Cameroon,centre-id
can,Canada,centre-id
cym,Cayman Islands,centre-id
caf,Central African Republic,centre-id
tcd,Chad,centre-id
chl,Chile,centre-id
chn,China,centre-id
cxr,Christmas Island,centre-id
cck,Cocos (Keeling) Islands,centre-id
col,Colombia,centre-id
com,Comoros,centre-id
cog,Congo,centre-id
cod,"Congo, Democratic Republic of the",centre-id
cok,Cook Islands,centre-id
cri,Costa Rica,centre-id
civ,Côte d'Ivoire,centre-id
hrv,Croatia,centre-id
cub,Cuba,centre-id
cuw,Curaçao,centre-id
cyp,Cyprus,centre-id
cze,Czechia,centre-id
dnk,Denmark,centre-id
dji,Djibouti,centre-id
dma,Dominica,centre-id
dom,Dominican Republic,centre-id
ecu,Ecuador,centre-id
egy,Egypt,centre-id
slv,El Salvador,centre-id
gnq,Equatorial Guinea,centre-id
eri,Eritrea,centre-id
est,Estonia,centre-id
